School Id,School Name
3265,Test School 1
3266,Test School 2
3267,Test School 4
3268,Test School 5
3269,Test School 6
3270,Test School 7
3271,Test School 8
3272,Test School 9
3273,Test School 10
3274,Test School 11
3275,Test School 12
3276,Test School 13
3277,Test School 14
3278,Test School 15
3279,Test School 16
3280,Test School 17
3281,Test School 18
3282,Test School 19
3283,Test School 20
3284,Test School 21
3285,Test School 22
3286,Test School 23
3287,Test School 24
3288,Test School 25
