Course Id,Course Name,Start Date,End Date,School Id,Teacher Id,Subjects
1,Accounting,2014-12-22,2017-12-22,1,9,Accounting
2,Accounting,2014-12-22,2017-12-22,2,21,Accounting
3,Accounting,2014-12-22,2017-12-22,3,49,Accounting
4,Accounting,2014-12-22,2017-12-22,4,63,Accounting
5,Accounting,2014-12-22,2017-12-22,5,81,Accounting
6,Accounting,2014-12-22,2017-12-22,6,105,Accounting
7,Accounting,2014-12-22,2017-12-22,7,119,Accounting
8,Accounting,2014-12-22,2017-12-22,8,129,Accounting
9,Accounting,2014-12-22,2017-12-22,9,9,Accounting
10,Accounting,2014-12-22,2017-12-22,10,153,Accounting
11,Accounting,2014-12-22,2017-12-22,11,165,Accounting
12,Accounting,2014-12-22,2017-12-22,12,175,Accounting
13,Accounting,2014-12-22,2017-12-22,13,193,Accounting
14,Accounting,2014-12-22,2017-12-22,14,211,Accounting
15,Accounting,2014-12-22,2017-12-22,15,237,Accounting
16,Accounting,2014-12-22,2017-12-22,16,247,Accounting
17,Accounting,2014-12-22,2017-12-22,17,259,Accounting
18,Accounting,2014-12-22,2017-12-22,18,283,Accounting
19,Accounting,2014-12-22,2017-12-22,19,293,Accounting
20,Accounting,2014-12-22,2017-12-22,20,307,Accounting
21,Accounting,2014-12-22,2017-12-22,21,315,Accounting
22,Accounting,2014-12-22,2017-12-22,22,327,Accounting
23,Accounting,2014-12-22,2017-12-22,23,335,Accounting
24,Accounting,2014-12-22,2017-12-22,24,367,Accounting
25,Accounting,2014-12-22,2017-12-22,25,381,Accounting
26,Accounting,2014-12-22,2017-12-22,26,399,Accounting
27,Accounting,2014-12-22,2017-12-22,27,413,Accounting
28,Accounting,2014-12-22,2017-12-22,28,423,Accounting
29,Accounting,2014-12-22,2017-12-22,29,445,Accounting
30,Accounting,2014-12-22,2017-12-22,30,457,Accounting
31,Accounting,2014-12-22,2017-12-22,31,469,Accounting
32,Accounting,2014-12-22,2017-12-22,32,475,Accounting
33,Accounting,2014-12-22,2017-12-22,33,495,Accounting
34,Accounting,2014-12-22,2017-12-22,34,507,Accounting
35,Accounting,2014-12-22,2017-12-22,35,521,Accounting
36,Accounting,2014-12-22,2017-12-22,36,543,Accounting
